O3_+_hv_=>_O_+_O_+_O.txt
wavelength          200K                225K                250K                275K                300K                
1.43060000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.43270000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.43470000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.43680000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.43880000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.44090000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.44300000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.44510000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.44720000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.44930000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.45140000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.45350000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.45560000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.45770000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.45990000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.46200000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.46410000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.46630000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.46840000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.47060000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.47280000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.47490000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.47710000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.47930000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.48150000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.48370000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.48590000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.48810000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.49030000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.49250000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.49480000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.49700000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.49930000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
1.50150000e+02      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      7.10000000e-01      
