CO2
wavelength (nm)   cross section (cm2/molecule)
8.8000e+01        4.2700e-17     
8.8560e+01        5.4000e-17     
8.8630e+01        5.8700e-17     
8.8800e+01        6.1400e-17     
8.8890e+01        6.1700e-17     
8.8940e+01        6.3900e-17     
8.8990e+01        6.1400e-17     
8.9070e+01        6.4300e-17     
8.9120e+01        7.2100e-17     
8.9160e+01        6.3200e-17     
8.9210e+01        6.9500e-17     
8.9260e+01        6.6200e-17     
8.9360e+01        8.1100e-17     
8.9400e+01        7.1400e-17     
8.9500e+01        8.1500e-17     
8.9570e+01        7.5500e-17     
8.9620e+01        7.7400e-17     
8.9690e+01        8.7800e-17     
8.9740e+01        7.8400e-17     
8.9770e+01        8.4500e-17     
8.9810e+01        8.0000e-17     
8.9900e+01        9.1800e-17     
9.0030e+01        8.2900e-17     
9.0080e+01        1.0700e-16     
9.0110e+01        9.2900e-17     
9.0160e+01        1.0000e-16     
9.0190e+01        7.7000e-17     
9.0240e+01        8.6300e-17     
9.0290e+01        7.8400e-17     
9.0340e+01        9.5600e-17     
9.0370e+01        7.1000e-17     
9.0410e+01        1.0800e-16     
9.0460e+01        9.1900e-17     
9.0490e+01        8.2900e-17     
9.0520e+01        1.0200e-16     
9.0580e+01        7.6200e-17     
9.0610e+01        7.5100e-17     
9.0640e+01        8.8500e-17     
9.0730e+01        8.1800e-17     
9.0830e+01        7.1800e-17     
9.0870e+01        8.2900e-17     
9.0900e+01        7.2900e-17     
9.0940e+01        8.7400e-17     
9.1000e+01        6.2000e-17     
9.1150e+01        1.0000e-16     
9.1300e+01        5.4000e-17     
9.1400e+01        6.8000e-17     
9.1500e+01        8.5000e-17     
9.1600e+01        8.5000e-17     
9.1700e+01        4.2000e-17     
9.1800e+01        8.5000e-17     
9.1900e+01        6.5000e-17     
9.2000e+01        9.8000e-17     
9.2100e+01        4.7000e-17     
9.2200e+01        1.1000e-16     
9.2250e+01        4.6000e-17     
9.2320e+01        1.4000e-16     
9.2400e+01        5.4000e-17     
9.2450e+01        7.4000e-17     
9.2500e+01        4.1000e-17     
9.2600e+01        8.9000e-17     
9.2700e+01        8.9000e-17     
9.2800e+01        4.7000e-17     
9.2900e+01        9.8000e-17     
9.3000e+01        8.5000e-17     
9.3050e+01        3.9000e-17     
9.3150e+01        7.8000e-17     
9.3220e+01        3.4000e-17     
9.3300e+01        7.4000e-17     
9.3350e+01        9.3000e-17     
9.3400e+01        7.4000e-17     
9.3450e+01        5.9000e-17     
9.3500e+01        7.8000e-17     
9.3550e+01        4.1000e-17     
9.3650e+01        7.4000e-17     
9.3700e+01        4.5000e-17     
9.3800e+01        8.9000e-17     
9.3900e+01        6.5000e-17     
9.4000e+01        7.4000e-17     
9.4080e+01        8.9000e-17     
9.4150e+01        4.5000e-17     
9.4250e+01        8.1000e-17     
9.4300e+01        7.1000e-17     
9.4400e+01        5.4000e-17     
9.4500e+01        6.2000e-17     
9.4600e+01        4.7000e-17     
9.4650e+01        7.4000e-17     
9.4700e+01        4.5000e-17     
9.4750e+01        5.1000e-17     
9.4850e+01        3.1000e-17     
9.4950e+01        5.9000e-17     
9.5000e+01        3.2000e-17     
9.5100e+01        5.9000e-17     
9.5200e+01        9.3000e-17     
9.5300e+01        9.1000e-17     
9.5450e+01        4.9000e-17     
9.5550e+01        8.9000e-17     
9.5600e+01        4.1000e-17     
9.5700e+01        7.1000e-17     
9.5800e+01        4.1000e-17     
9.5870e+01        7.8000e-17     
9.5970e+01        3.3000e-17     
9.6100e+01        1.1000e-16     
9.6200e+01        4.7000e-17     
9.6300e+01        7.4000e-17     
9.6400e+01        5.6000e-17     
9.6500e+01        3.7000e-17     
9.6600e+01        3.4000e-17     
9.6800e+01        2.8000e-17     
9.6950e+01        4.9000e-17     
9.7150e+01        3.4000e-17     
9.7200e+01        3.7000e-17     
9.7400e+01        1.9000e-17     
9.7500e+01        3.7000e-17     
9.7600e+01        3.4000e-17     
9.7700e+01        4.5000e-17     
9.7750e+01        3.7000e-17     
9.7900e+01        3.7000e-17     
9.7950e+01        4.9000e-17     
9.8000e+01        3.7000e-17     
9.8060e+01        2.8000e-17     
9.8150e+01        1.3500e-16     
9.8250e+01        9.8000e-17     
9.8450e+01        2.8000e-17     
9.8600e+01        2.3000e-17     
9.8700e+01        4.3000e-17     
9.8800e+01        2.5000e-17     
9.8900e+01        3.9000e-17     
9.9000e+01        2.6000e-17     
9.9200e+01        8.1000e-17     
9.9300e+01        5.6000e-17     
9.9450e+01        1.2000e-16     
9.9600e+01        5.9000e-17     
9.9750e+01        3.4000e-17     
9.9900e+01        3.2000e-17     
1.0000e+02        3.5000e-17     
1.0010e+02        4.3000e-17     
1.0020e+02        3.2000e-17     
1.0030e+02        4.1000e-17     
1.0045e+02        2.5000e-17     
1.0050e+02        3.7000e-17     
1.0075e+02        1.1000e-16     
1.0100e+02        2.5000e-17     
1.0130e+02        2.7000e-17     
1.0140e+02        3.7000e-17     
1.0150e+02        2.3000e-17     
1.0180e+02        2.4000e-17     
1.0190e+02        3.4000e-17     
1.0205e+02        1.3000e-16     
1.0220e+02        3.7000e-17     
1.0240e+02        2.7000e-17     
1.0250e+02        1.8000e-17     
1.0260e+02        2.7000e-17     
1.0280e+02        2.1000e-17     
1.0305e+02        1.2000e-17     
1.0330e+02        6.0000e-17     
1.0350e+02        6.8100e-17     
1.0375e+02        1.0000e-17     
1.0390e+02        1.4000e-17     
1.0405e+02        1.2000e-17     
1.0410e+02        1.9100e-17     
1.0430e+02        1.0000e-17     
1.0440e+02        1.1000e-17     
1.0450e+02        1.2000e-17     
1.0475e+02        5.2000e-17     
1.0500e+02        9.7000e-18     
1.0520e+02        1.1500e-17     
1.0540e+02        4.3000e-17     
1.0550e+02        1.5000e-17     
1.0570e+02        1.1000e-17     
1.0590e+02        2.0000e-17     
1.0610e+02        6.8000e-17     
1.0620e+02        1.2000e-17     
1.0630e+02        1.3000e-17     
1.0650e+02        7.8000e-18     
1.0670e+02        1.0000e-17     
1.0675e+02        4.9000e-17     
1.0690e+02        2.0000e-17     
1.0700e+02        2.2000e-17     
1.0720e+02        9.7000e-18     
1.0735e+02        3.2000e-17     
1.0750e+02        4.7000e-17     
1.0775e+02        9.7000e-18     
1.0800e+02        1.0000e-17     
1.0820e+02        1.3000e-17     
1.0830e+02        3.2000e-17     
1.0860e+02        8.6000e-18     
1.0870e+02        3.7000e-17     
1.0880e+02        2.4400e-16     
1.0900e+02        3.1000e-17     
1.0910e+02        1.7000e-17     
1.0920e+02        1.2000e-17     
1.0930e+02        2.0000e-17     
1.0940e+02        1.2000e-17     
1.0950e+02        6.7000e-18     
1.0970e+02        6.3000e-18     
1.0980e+02        5.4000e-18     
1.1000e+02        6.5000e-18     
1.1020e+02        1.0000e-17     
1.1030e+02        1.6000e-17     
1.1045e+02        8.2000e-18     
1.1060e+02        3.1000e-17     
1.1070e+02        8.9000e-18     
1.1090e+02        1.0000e-17     
1.1115e+02        4.3000e-17     
1.1140e+02        2.9000e-17     
1.1170e+02        3.7000e-17     
1.1200e+02        6.8000e-17     
1.1225e+02        2.0000e-16     
1.1250e+02        4.5000e-17     
1.1270e+02        5.4000e-17     
1.1280e+02        1.1000e-16     
1.1290e+02        1.2000e-16     
1.1315e+02        3.7000e-17     
1.1325e+02        2.3000e-17     
1.1355e+02        2.0000e-17     
1.1370e+02        1.2000e-17     
1.1380e+02        2.6000e-18     
1.1400e+02        2.0000e-17     
1.1420e+02        1.8000e-17     
1.1450e+02        3.7000e-18     
1.1465e+02        2.4000e-18     
1.1480e+02        5.2000e-18     
1.1500e+02        3.5000e-18     
1.1540e+02        4.7000e-19     
1.1570e+02        5.1000e-18     
1.1630e+02        2.0000e-19     
1.1660e+02        1.2000e-18     
1.1700e+02        8.0000e-20     
1.1740e+02        6.3000e-19     
1.1800e+02        5.0000e-20     
1.1830e+02        1.0000e-19     
1.1880e+02        3.0000e-20     
1.1930e+02        6.0000e-20     
1.1960e+02        4.0000e-20     
1.2000e+02        5.0000e-20     
1.2100e+02        6.3000e-20     
1.2157e+02        8.1900e-20     
1.2200e+02        7.4000e-20     
1.2300e+02        1.0000e-19     
1.2400e+02        1.4000e-19     
1.2500e+02        2.2000e-19     
1.2600e+02        2.9000e-19     
1.2700e+02        3.7000e-19     
1.2800e+02        5.2000e-19     
1.2900e+02        6.3000e-19     
1.3000e+02        4.8000e-19     
1.3050e+02        8.0000e-19     
1.3100e+02        4.8000e-19     
1.3150e+02        1.1000e-18     
1.3200e+02        6.2000e-19     
1.3250e+02        1.1000e-18     
1.3300e+02        6.2000e-19     
1.3350e+02        1.1000e-18     
1.3400e+02        7.4000e-19     
1.3450e+02        6.0000e-19     
1.3500e+02        1.1000e-18     
1.3550e+02        5.2000e-19     
1.3600e+02        9.7000e-19     
1.3650e+02        5.6000e-19     
1.3700e+02        7.1000e-19     
1.3750e+02        5.2000e-19     
1.3800e+02        6.7000e-19     
1.4000e+02        5.3000e-19     
1.4200e+02        5.4000e-19     
1.4400e+02        6.0000e-19     
1.4600e+02        6.0000e-19     
1.4800e+02        6.0000e-19     
1.4900e+02        6.0000e-19     
1.5000e+02        5.2000e-19     
1.5100e+02        4.8000e-19     
1.5200e+02        4.5000e-19     
1.5300e+02        4.8000e-19     
1.5400e+02        4.5000e-19     
1.5500e+02        3.5000e-19     
1.5600e+02        3.0000e-19     
1.5700e+02        3.0000e-19     
1.5800e+02        2.6000e-19     
1.5900e+02        1.9000e-19     
1.6000e+02        1.9000e-19     
1.6200e+02        1.1000e-19     
1.6400e+02        8.9000e-20     
1.6600e+02        6.3000e-20     
1.6800e+02        3.2000e-20     
1.7000e+02        2.3000e-20     
1.7500e+02        5.8000e-21     
1.8000e+02        1.8000e-21     
1.8500e+02        5.0000e-22     
1.9000e+02        1.2000e-22     
1.9500e+02        1.0000e-23     
2.2750e+02        1.0000e-25     
